month,cp,wind_sector,n_obs,n_days,total_obs,share,mean_sknt
11,20:00,NW,321,108,7483,0.042897233729787515,11.80373831775701
11,20:00,S,1541,166,7483,0.20593344915140988,14.82024659312135
11,20:00,SE,433,92,7483,0.057864492850461045,11.106235565819862
11,20:00,SW,225,67,7483,0.030068154483495924,9.751111111111111
11,20:00,W,50,36,7483,0.006681812107443539,4.26
11,20:00,unknown,1,1,7483,0.00013363624214887077,1.0
11,21:00,E,103,58,8320,0.012379807692307692,3.1067961165048543
11,21:00,N,4554,348,8320,0.5473557692307692,14.883838383838384
11,21:00,NE,756,187,8320,0.09086538461538461,7.292328042328043
11,21:00,NW,361,114,8320,0.043389423076923075,11.955678670360111
11,21:00,S,1756,178,8320,0.2110576923076923,14.695899772209566
11,21:00,SE,476,96,8320,0.05721153846153846,11.365546218487395
11,21:00,SW,254,77,8320,0.030528846153846153,9.385826771653543
11,21:00,W,59,41,8320,0.007091346153846154,4.559322033898305
11,21:00,unknown,1,1,8320,0.0001201923076923077,1.0
11,22:00,E,109,62,9150,0.011912568306010929,3.2660550458715596
11,22:00,N,5011,349,9150,0.5476502732240437,15.100179604869288
11,22:00,NE,770,189,9150,0.08415300546448087,7.314285714285714
11,22:00,NW,397,120,9150,0.043387978142076504,12.133501259445843
11,22:00,S,1992,193,9150,0.21770491803278688,14.513052208835342
11,22:00,SE,509,101,9150,0.05562841530054645,11.49901768172888
11,22:00,SW,291,87,9150,0.03180327868852459,9.415807560137457
11,22:00,W,70,48,9150,0.007650273224043716,5.1571428571428575
11,22:00,unknown,1,1,9150,0.0001092896174863388,1.0
11,23:00,E,110,62,9989,0.011012113324657123,3.327272727272727
11,23:00,N,5464,351,9989,0.5470017018720593,15.365117130307468
11,23:00,NE,775,190,9989,0.07758534387826609,7.327741935483871
11,23:00,NW,434,123,9989,0.043447792571829014,12.387096774193548
11,23:00,S,2257,199,9989,0.2259485433977375,14.292866637128933
11,23:00,SE,537,105,9989,0.05375913504855341,11.655493482309124
11,23:00,SW,337,100,9989,0.033737110821904094,9.617210682492582
11,23:00,W,74,48,9989,0.007408148963860247,5.445945945945946
11,23:00,unknown,1,1,9989,0.00010011012113324657,1.0
12,20:00,E,131,62,7988,0.016399599399098647,2.4732824427480917
12,20:00,N,4415,378,7988,0.5527040560841262,14.350849377123442
12,20:00,NE,703,197,7988,0.08800701051577366,6.539118065433855
12,20:00,NW,235,96,7988,0.02941912869303956,10.170212765957446
12,20:00,S,1764,200,7988,0.22083124687030545,14.365079365079366
12,20:00,SE,362,103,7988,0.045317976965448176,10.290055248618785
12,20:00,SW,302,93,7988,0.03780671006509765,8.06953642384106
12,20:00,W,73,49,7988,0.00913870806209314,3.452054794520548
12,20:00,unknown,3,1,7988,0.0003755633450175263,2.3333333333333335
12,21:00,E,137,65,8874,0.015438359251746676,2.627737226277372
12,21:00,N,4919,380,8874,0.5543159792652693,14.509859727586909
12,21:00,NE,732,203,8874,0.08248816768086545,6.543715846994536
12,21:00,NW,253,103,8874,0.028510254676583278,10.201581027667984
12,21:00,S,2023,214,8874,0.22796934865900384,14.127039050914483
12,21:00,SE,399,108,8874,0.04496281271129141,10.654135338345865
12,21:00,SW,329,101,8874,0.0370745999549245,8.0790273556231
12,21:00,W,78,54,8874,0.00878972278566599,3.448717948717949
12,21:00,unknown,4,2,8874,0.000450755014649538,2.3333333333333335
12,22:00,E,146,69,9760,0.014959016393442623,2.856164383561644
12,22:00,N,5407,382,9760,0.5539959016393443,14.709635657481043
12,22:00,NE,746,205,9760,0.07643442622950819,6.565683646112601
12,22:00,NW,273,109,9760,0.027971311475409835,10.45054945054945
12,22:00,S,2303,228,9760,0.23596311475409837,13.927920104211898
12,22:00,SE,433,114,9760,0.04436475409836066,10.937644341801386
12,22:00,SW,365,112,9760,0.03739754098360656,8.334246575342465
12,22:00,W,83,56,9760,0.008504098360655738,3.674698795180723
12,22:00,unknown,4,2,9760,0.0004098360655737705,2.3333333333333335
12,23:00,E,153,70,10648,0.014368895567242674,3.0392156862745097
12,23:00,N,5888,383,10648,0.5529676934635612,14.936141304347826
12,23:00,NE,754,207,10648,0.0708114199849737,6.586206896551724
12,23:00,NW,294,116,10648,0.027610818933132983,10.748299319727892
12,23:00,S,2608,232,10648,0.24492862509391436,13.806365030674847
12,23:00,SE,466,121,10648,0.0437640871525169,11.130901287553648
12,23:00,SW,395,120,10648,0.037096168294515404,8.549367088607594
12,23:00,W,86,58,10648,0.008076634109691961,3.6744186046511627
12,23:00,unknown,4,2,10648,0.0003756574004507889,2.3333333333333335
