month,regime_label,cp,tmax_hour_bucket,n_rows,total_rows,bucket_share,underpowered_n_lt_30
9,southerly_disrupted,21:00,between_13_17,144,340,0.4235294117647059,false
9,southerly_disrupted,22:00,after_17,5,343,0.014577259475218658,false
9,southerly_disrupted,22:00,before_13,193,343,0.5626822157434402,false
9,southerly_disrupted,22:00,between_13_17,145,343,0.4227405247813411,false
9,southerly_disrupted,23:00,after_17,5,345,0.014492753623188406,false
9,southerly_disrupted,23:00,before_13,194,345,0.5623188405797102,false
9,southerly_disrupted,23:00,between_13_17,146,345,0.42318840579710143,false
9,standard_nw,20:00,after_17,2,66,0.030303030303030304,false
9,standard_nw,20:00,before_13,38,66,0.5757575757575758,false
9,standard_nw,20:00,between_13_17,26,66,0.3939393939393939,false
9,standard_nw,21:00,after_17,2,62,0.03225806451612903,false
9,standard_nw,21:00,before_13,35,62,0.5645161290322581,false
9,standard_nw,21:00,between_13_17,25,62,0.4032258064516129,false
9,standard_nw,22:00,after_17,2,56,0.03571428571428571,false
9,standard_nw,22:00,before_13,32,56,0.5714285714285714,false
9,standard_nw,22:00,between_13_17,22,56,0.39285714285714285,false
9,standard_nw,23:00,after_17,1,48,0.020833333333333332,false
9,standard_nw,23:00,before_13,28,48,0.5833333333333334,false
9,standard_nw,23:00,between_13_17,19,48,0.3958333333333333,false
9,strong_nw_foehn,20:00,after_17,1,38,0.02631578947368421,false
9,strong_nw_foehn,20:00,before_13,25,38,0.6578947368421053,false
9,strong_nw_foehn,20:00,between_13_17,12,38,0.3157894736842105,false
9,strong_nw_foehn,21:00,after_17,1,37,0.02702702702702703,false
9,strong_nw_foehn,21:00,before_13,26,37,0.7027027027027027,false
9,strong_nw_foehn,21:00,between_13_17,10,37,0.2702702702702703,false
9,strong_nw_foehn,22:00,after_17,1,41,0.024390243902439025,false
9,strong_nw_foehn,22:00,before_13,29,41,0.7073170731707317,false
9,strong_nw_foehn,22:00,between_13_17,11,41,0.2682926829268293,false
9,strong_nw_foehn,23:00,after_17,2,45,0.044444444444444446,false
9,strong_nw_foehn,23:00,before_13,30,45,0.6666666666666666,false
